Batch_ID,Brew_Date,Beer_Style,SKU,Location,Fermentation_Time,Temperature,pH_Level,Gravity,Alcohol_Content,Bitterness,Color,Ingredient_Ratio,Volume_Produced,Total_Sales,Quality_Score,Brewhouse_Efficiency,Loss_During_Brewing,Loss_During_Fermentation,Loss_During_Bottling_Kegging
9278892,2020-01-02 01:27:41,Stout,Pints,Yelahanka,11,15.474703457195801,4.74344421833876,1.0400511517041788,5.822124393793977,55,16,1:0.25:0.14,1284,16632.6630429056,8.260761345326355,80.85258766168022,4.1286537026129935,2.730486015917254,4.220246746041028
1372588,2020-01-02 01:50:16,IPA,Cans,Koramangala,17,24.27246985783479,5.488937489631193,1.0682699406558955,5.433197707655553,21,15,1:0.33:0.22,1820,15657.853657860573,7.081708352989591,89.54490640943116,2.5607436542264392,4.660627228684768,3.343462359076849
3870271,2020-01-02 02:41:25,Wheat Beer,Pints,Jayanagar,16,15.61470042821165,4.56230998096077,1.0440959946082013,4.554314930155493,26,12,1:0.28:0.28,1295,10692.726851715977,7.413274117194917,77.58441702825284,2.633732584449373,3.7951110379473696,4.265896719960603
7289108,2020-01-02 05:00:39,Sour,Pints,Yelahanka,10,19.864086161745718,4.627176538633398,1.03498042725539,5.284272859886431,38,19,1:0.26:0.23,2727,2998.3632630569873,8.258014238948801,85.71919410773432,4.9386835361773365,1.9699087826361459,3.523199079038658
1389082,2020-01-02 07:34:40,IPA,Pints,Indiranagar,14,19.748681671333124,5.333810830384661,1.0712853402118463,5.4197325105591405,48,13,1:0.47:0.19,1651,7647.400028944912,8.392479729969864,86.58206139759656,3.0683690001451827,1.1328887542541843,4.72932056671142
2853490,2020-01-02 09:41:09,Lager,Pints,Jayanagar,17,19.853022159558463,5.17055278655173,1.0672914931082687,5.772569355955464,43,10,1:0.26:0.22,1815,13374.553178501375,9.627258904451313,89.35371606126003,3.923301553033852,1.6597218749631204,3.130074862474212
6391538,2020-01-02 10:35:30,IPA,Pints,Yelahanka,19,18.942432926785962,5.06003168575179,1.0626273764364158,5.213154418201317,48,6,1:0.33:0.23,2404,4162.750825164529,8.774642459015224,84.66424910976073,3.66330764765109,4.176446902411103,3.1160697582104615
8735788,2020-01-02 14:03:18,Stout,Bottles,Marathahalli,13,15.521059778090159,5.184382450315577,1.0434686973420195,5.835077802286369,26,5,1:0.39:0.14,4486,9271.82983226726,7.728038196419105,78.07287132042474,4.953089032057386,2.0636379958260878,2.966120416840882
7437527,2020-01-02 14:55:37,Lager,Cans,Malleswaram,13,21.108214064771474,5.451446614578436,1.0745357062703267,5.235925426579796,54,8,1:0.47:0.13,4033,9813.510597416183,9.699553379424774,86.40525274738238,2.731988246565692,3.0278853388525113,4.231140488753381
589527,2020-01-02 16:50:04,Wheat Beer,Pints,Malleswaram,12,17.37901027442419,5.318675646659814,1.0686809417333312,5.557427190356833,38,6,1:0.38:0.24,4621,14026.09913798904,8.393217759989296,70.63259718966914,3.1831545995437893,3.370910301378207,1.8217787388701514
7630962,2020-01-02 21:39:55,Sour,Pints,Rajajinagar,12,15.404170386198736,5.0729726441380985,1.046118174119191,4.856784017440107,32,17,1:0.35:0.25,3233,18718.022993052426,7.088357046379151,82.70386314348795,2.012300486042856,1.0903542231921137,2.6813060398702615
7695705,2020-01-02 22:41:05,Lager,Kegs,Yelahanka,10,17.633295209363048,5.3464043319394285,1.0484026773095518,5.775117071691976,53,16,1:0.24:0.23,646,16307.174438332571,8.152029983037464,82.54769861388856,3.0320869613756423,2.1860851671738497,4.01129639397576
3282399,2020-01-03 03:29:48,Stout,Cans,Marathahalli,10,17.89018890459199,5.149925015949005,1.045035984888068,5.847877462998791,27,10,1:0.22:0.10,2588,18378.65557029993,9.758827143907151,79.93598408061578,3.339749555817288,4.049789875463517,3.4028964631456193
394667,2020-01-03 04:04:29,Ale,Kegs,Koramangala,16,19.708223335672038,5.378993411310143,1.0358082784261882,5.150734385020248,33,17,1:0.29:0.25,975,9407.939837010277,9.556462379269421,89.6015863660866,4.449469644756512,2.499616373537945,3.0016274013995297
722576,2020-01-03 04:38:17,Lager,Pints,Indiranagar,15,19.00828043846211,4.932617599903219,1.0526128892005637,5.0419434569465995,57,17,1:0.24:0.21,3557,17198.60226687554,9.684515274241969,89.9498504833635,3.0192756027011156,3.3341877879775685,4.461156497827028
598540,2020-01-03 05:47:44,Lager,Pints,Marathahalli,10,23.901763788386827,4.591121480488683,1.0423528842337424,5.143120049441498,35,18,1:0.42:0.18,1397,13311.123111313254,8.224411193671255,76.68002034183341,3.8456734936562973,2.233011927649818,2.29281341582274
4824487,2020-01-03 09:32:16,Pilsner,Pints,Jayanagar,10,20.883303925474493,4.650664803559666,1.0688832478530639,5.795671086945799,25,8,1:0.21:0.18,3646,6608.391841239246,6.334971097637087,80.17906318839431,3.9436205691760304,4.400025111336115,3.518475605099886
6761313,2020-01-03 12:55:19,Sour,Pints,Rajajinagar,10,15.379952471009977,4.789852911011796,1.068663361884739,4.921550646905167,55,7,1:0.21:0.20,3483,18424.643584771762,6.356914888824434,82.22397683903979,3.328945769387843,4.593856715149495,2.8259969538118597
1581067,2020-01-03 13:59:46,Porter,Cans,HSR Layout,14,16.64585948131863,4.995744622171339,1.0313917073068377,5.663546239217781,54,5,1:0.48:0.12,1512,10738.713006702235,9.763628183246738,84.72684270396655,3.8747945407838436,4.055473860752555,1.9284409549245871
199168,2020-01-03 14:17:25,Lager,Bottles,Electronic City,17,16.17730634133735,4.586882016929475,1.069548533828691,4.646844822290822,38,15,1:0.38:0.16,1569,8768.331324234416,7.494984425980748,85.59720676494422,1.728061982011846,2.7496677897100055,1.7270853032559819
